NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;90101;0;2005;2016;Wien Innere Stadt;15.953,00;17294,00
AT1;AT13;AT130;90101;0;2016;2016;Wien Innere Stadt;16.020,00;16411,00
AT1;AT13;AT130;90201;0;2005;2016;Wien Leopoldstadt;31.890,00;91364,00
AT1;AT13;AT130;90201;0;2016;2016;Wien Leopoldstadt;32.665,00;103225,00
AT1;AT13;AT130;90301;0;2005;2016;Wien Landstraße;36.107,00;83827,00
AT1;AT13;AT130;90301;0;2016;2016;Wien Landstraße;38.245,00;89806,00
AT1;AT13;AT130;90401;0;2005;2016;Wien Wieden;13.109,00;29573,00
AT1;AT13;AT130;90401;0;2016;2016;Wien Wieden;12.790,00;32751,00
AT1;AT13;AT130;90501;0;2005;2016;Wien Margareten;17.796,00;51882,00
AT1;AT13;AT130;90501;0;2016;2016;Wien Margareten;16.111,00;54938,00
AT1;AT13;AT130;90601;0;2005;2016;Wien Mariahilf;11.682,00;29012,00
AT1;AT13;AT130;90601;0;2016;2016;Wien Mariahilf;10.783,00;31620,00
AT1;AT13;AT130;90701;0;2005;2016;Wien Neubau;11.386,00;29161,00
AT1;AT13;AT130;90701;0;2016;2016;Wien Neubau;10.546,00;32020,00
AT1;AT13;AT130;90801;0;2005;2016;Wien Josefstadt;8.822,00;23588,00
AT1;AT13;AT130;90801;0;2016;2016;Wien Josefstadt;7.961,00;25054,00
AT1;AT13;AT130;90901;0;2005;2016;Wien Alsergrund;16.310,00;39472,00
AT1;AT13;AT130;90901;0;2016;2016;Wien Alsergrund;14.449,00;43095,00
AT1;AT13;AT130;91001;0;2005;2016;Wien Favoriten;60.160,00;163695,00
AT1;AT13;AT130;91001;0;2016;2016;Wien Favoriten;65.322,00;194746,00
AT1;AT13;AT130;91101;0;2005;2016;Wien Simmering;31.608,00;82429,00
AT1;AT13;AT130;91101;0;2016;2016;Wien Simmering;35.443,00;97342,00
AT1;AT13;AT130;91201;0;2005;2016;Wien Meidling;29.765,00;83372,00
AT1;AT13;AT130;91201;0;2016;2016;Wien Meidling;32.996,00;94170,00
AT1;AT13;AT130;91301;0;2005;2016;Wien Hietzing;23.325,00;51316,00
AT1;AT13;AT130;91301;0;2016;2016;Wien Hietzing;23.174,00;53813,00
AT1;AT13;AT130;91401;0;2005;2016;Wien Penzing;32.429,00;81785,00
AT1;AT13;AT130;91401;0;2016;2016;Wien Penzing;34.490,00;91596,00
AT1;AT13;AT130;91501;0;2005;2016;Wien Rudolfsheim-Fünfhaus;22.292,00;69467,00
AT1;AT13;AT130;91501;0;2016;2016;Wien Rudolfsheim-Fünfhaus;21.817,00;78349,00
AT1;AT13;AT130;91601;0;2005;2016;Wien Ottakring;31.081,00;91997,00
AT1;AT13;AT130;91601;0;2016;2016;Wien Ottakring;32.513,00;102605,00
AT1;AT13;AT130;91701;0;2005;2016;Wien Hernals;18.253,00;51316,00
AT1;AT13;AT130;91701;0;2016;2016;Wien Hernals;18.452,00;56329,00
AT1;AT13;AT130;91801;0;2005;2016;Wien Währing;18.073,00;46921,00
AT1;AT13;AT130;91801;0;2016;2016;Wien Währing;18.259,00;50283,00
AT1;AT13;AT130;91901;0;2005;2016;Wien Döbling;28.906,00;66900,00
AT1;AT13;AT130;91901;0;2016;2016;Wien Döbling;28.821,00;71609,00
AT1;AT13;AT130;92001;0;2005;2016;Wien Brigittenau;26.004,00;80758,00
AT1;AT13;AT130;92001;0;2016;2016;Wien Brigittenau;25.247,00;85815,00
AT1;AT13;AT130;92101;0;2005;2016;Wien Floridsdorf;54.606,00;134904,00
AT1;AT13;AT130;92101;0;2016;2016;Wien Floridsdorf;60.483,00;155986,00
AT1;AT13;AT130;92201;0;2005;2016;Wien Donaustadt;63.177,00;144820,00
AT1;AT13;AT130;92201;0;2016;2016;Wien Donaustadt;78.838,00;180272,00
AT1;AT13;AT130;92301;0;2005;2016;Wien Liesing;45.658,00;87716,00
AT1;AT13;AT130;92301;0;2016;2016;Wien Liesing;49.365,00;98391,00
