NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;90101;0;2005;2017;Wien Innere Stadt;15953;17294
AT1;AT13;AT130;90101;0;2017;2017;Wien Innere Stadt;16251;16465
AT1;AT13;AT130;90201;0;2005;2017;Wien Leopoldstadt;31890;91364
AT1;AT13;AT130;90201;0;2017;2017;Wien Leopoldstadt;32735;105003
AT1;AT13;AT130;90301;0;2005;2017;Wien Landstraße;36107;83827
AT1;AT13;AT130;90301;0;2017;2017;Wien Landstraße;38033;90183
AT1;AT13;AT130;90401;0;2005;2017;Wien Wieden;13109;29573
AT1;AT13;AT130;90401;0;2017;2017;Wien Wieden;12679;33035
AT1;AT13;AT130;90501;0;2005;2017;Wien Margareten;17796;51882
AT1;AT13;AT130;90501;0;2017;2017;Wien Margareten;16005;55356
AT1;AT13;AT130;90601;0;2005;2017;Wien Mariahilf;11682;29012
AT1;AT13;AT130;90601;0;2017;2017;Wien Mariahilf;10657;31865
AT1;AT13;AT130;90701;0;2005;2017;Wien Neubau;11386;29161
AT1;AT13;AT130;90701;0;2017;2017;Wien Neubau;10550;32197
AT1;AT13;AT130;90801;0;2005;2017;Wien Josefstadt;8822;23588
AT1;AT13;AT130;90801;0;2017;2017;Wien Josefstadt;7834;25528
AT1;AT13;AT130;90901;0;2005;2017;Wien Alsergrund;16310;39472
AT1;AT13;AT130;90901;0;2017;2017;Wien Alsergrund;14253;42709
AT1;AT13;AT130;91001;0;2005;2017;Wien Favoriten;60160;163695
AT1;AT13;AT130;91001;0;2017;2017;Wien Favoriten;69172;198083
AT1;AT13;AT130;91101;0;2005;2017;Wien Simmering;31608;82429
AT1;AT13;AT130;91101;0;2017;2017;Wien Simmering;36012;100137
AT1;AT13;AT130;91201;0;2005;2017;Wien Meidling;29765;83372
AT1;AT13;AT130;91201;0;2017;2017;Wien Meidling;33190;95955
AT1;AT13;AT130;91301;0;2005;2017;Wien Hietzing;23325;51316
AT1;AT13;AT130;91301;0;2017;2017;Wien Hietzing;23298;54171
AT1;AT13;AT130;91401;0;2005;2017;Wien Penzing;32429;81785
AT1;AT13;AT130;91401;0;2017;2017;Wien Penzing;34587;92337
AT1;AT13;AT130;91501;0;2005;2017;Wien Rudolfsheim-Fünfhaus;22292;69467
AT1;AT13;AT130;91501;0;2017;2017;Wien Rudolfsheim-Fünfhaus;21687;78999
AT1;AT13;AT130;91601;0;2005;2017;Wien Ottakring;31081;91997
AT1;AT13;AT130;91601;0;2017;2017;Wien Ottakring;32318;104323
AT1;AT13;AT130;91701;0;2005;2017;Wien Hernals;18253;51316
AT1;AT13;AT130;91701;0;2017;2017;Wien Hernals;18498;57180
AT1;AT13;AT130;91801;0;2005;2017;Wien Währing;18073;46921
AT1;AT13;AT130;91801;0;2017;2017;Wien Währing;18447;51128
AT1;AT13;AT130;91901;0;2005;2017;Wien Döbling;28906;66900
AT1;AT13;AT130;91901;0;2017;2017;Wien Döbling;28962;72107
AT1;AT13;AT130;92001;0;2005;2017;Wien Brigittenau;26004;80758
AT1;AT13;AT130;92001;0;2017;2017;Wien Brigittenau;25211;86868
AT1;AT13;AT130;92101;0;2005;2017;Wien Floridsdorf;54606;134904
AT1;AT13;AT130;92101;0;2017;2017;Wien Floridsdorf;61841;158712
AT1;AT13;AT130;92201;0;2005;2017;Wien Donaustadt;63177;144820
AT1;AT13;AT130;92201;0;2017;2017;Wien Donaustadt;80340;184188
AT1;AT13;AT130;92301;0;2005;2017;Wien Liesing;45658;87716
AT1;AT13;AT130;92301;0;2017;2017;Wien Liesing;50962;101053
