NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;9;0;2005;2021;Wien;655806;1652449
AT1;AT13;AT130;90101;0;2005;2021;Wien Innere Stadt;15953;17285
AT1;AT13;AT130;90201;0;2005;2021;Wien Leopoldstadt;31890;92170
AT1;AT13;AT130;90301;0;2005;2021;Wien Landstraße;36107;84208
AT1;AT13;AT130;90401;0;2005;2021;Wien Wieden;13109;30126
AT1;AT13;AT130;90501;0;2005;2021;Wien Margareten;17796;52534
AT1;AT13;AT130;90601;0;2005;2021;Wien Mariahilf;11682;29369
AT1;AT13;AT130;90701;0;2005;2021;Wien Neubau;11386;30416
AT1;AT13;AT130;90801;0;2005;2021;Wien Josefstadt;8822;23597
AT1;AT13;AT130;90901;0;2005;2021;Wien Alsergrund;16310;39264
AT1;AT13;AT130;91001;0;2005;2021;Wien Favoriten;60160;167238
AT1;AT13;AT130;91101;0;2005;2021;Wien Simmering;31608;82722
AT1;AT13;AT130;91201;0;2005;2021;Wien Meidling;29765;84240
AT1;AT13;AT130;91301;0;2005;2021;Wien Hietzing;23325;51356
AT1;AT13;AT130;91401;0;2005;2021;Wien Penzing;32429;82829
AT1;AT13;AT130;91501;0;2005;2021;Wien Rudolfsheim-Fünfhaus;22292;70235
AT1;AT13;AT130;91601;0;2005;2021;Wien Ottakring;31081;93817
AT1;AT13;AT130;91701;0;2005;2021;Wien Hernals;18253;52480
AT1;AT13;AT130;91801;0;2005;2021;Wien Währing;18073;47291
AT1;AT13;AT130;91901;0;2005;2021;Wien Döbling;28906;67389
AT1;AT13;AT130;92001;0;2005;2021;Wien Brigittenau;26004;81288
AT1;AT13;AT130;92101;0;2005;2021;Wien Floridsdorf;54606;136625
AT1;AT13;AT130;92201;0;2005;2021;Wien Donaustadt;63177;146892
AT1;AT13;AT130;92301;0;2005;2021;Wien Liesing;45658;89078
AT1;AT13;AT130;9;0;2021;2021;Wien;725100;1931593
AT1;AT13;AT130;90101;0;2021;2021;Wien Innere Stadt;16206;15700
AT1;AT13;AT130;90201;0;2021;2021;Wien Leopoldstadt;33450;104688
AT1;AT13;AT130;90301;0;2021;2021;Wien Landstraße;37258;93744
AT1;AT13;AT130;90401;0;2021;2021;Wien Wieden;12248;33007
AT1;AT13;AT130;90501;0;2021;2021;Wien Margareten;15226;53731
AT1;AT13;AT130;90601;0;2021;2021;Wien Mariahilf;10042;30958
AT1;AT13;AT130;90701;0;2021;2021;Wien Neubau;9862;31326
AT1;AT13;AT130;90801;0;2021;2021;Wien Josefstadt;7538;24189
AT1;AT13;AT130;90901;0;2021;2021;Wien Alsergrund;13737;41382
AT1;AT13;AT130;91001;0;2021;2021;Wien Favoriten;71131;212255
AT1;AT13;AT130;91101;0;2021;2021;Wien Simmering;38654;106078
AT1;AT13;AT130;91201;0;2021;2021;Wien Meidling;34873;97909
AT1;AT13;AT130;91301;0;2021;2021;Wien Hietzing;23873;53959
AT1;AT13;AT130;91401;0;2021;2021;Wien Penzing;35207;92989
AT1;AT13;AT130;91501;0;2021;2021;Wien Rudolfsheim-Fünfhaus;21319;75635
AT1;AT13;AT130;91601;0;2021;2021;Wien Ottakring;32716;101638
AT1;AT13;AT130;91701;0;2021;2021;Wien Hernals;18175;56014
AT1;AT13;AT130;91801;0;2021;2021;Wien Währing;18367;50865
AT1;AT13;AT130;91901;0;2021;2021;Wien Döbling;31379;73873
AT1;AT13;AT130;92001;0;2021;2021;Wien Brigittenau;24110;84471
AT1;AT13;AT130;92101;0;2021;2021;Wien Floridsdorf;68376;178185
AT1;AT13;AT130;92201;0;2021;2021;Wien Donaustadt;85949;203823
AT1;AT13;AT130;92301;0;2021;2021;Wien Liesing;56897;115174
