NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;90101;0;2005;2015;Wien Innere Stadt;15.953,00;17294,00
AT1;AT13;AT130;90101;0;2015;2015;Wien Innere Stadt;16.785,00;16339,00
AT1;AT13;AT130;90201;0;2005;2015;Wien Leopoldstadt;31.890,00;91364,00
AT1;AT13;AT130;90201;0;2015;2015;Wien Leopoldstadt;32.353,00;101702,00
AT1;AT13;AT130;90301;0;2005;2015;Wien Landstraße;36.107,00;83827,00
AT1;AT13;AT130;90301;0;2015;2015;Wien Landstraße;38.542,00;88125,00
AT1;AT13;AT130;90401;0;2005;2015;Wien Wieden;13.109,00;29573,00
AT1;AT13;AT130;90401;0;2015;2015;Wien Wieden;12.743,00;31691,00
AT1;AT13;AT130;90501;0;2005;2015;Wien Margareten;17.796,00;51882,00
AT1;AT13;AT130;90501;0;2015;2015;Wien Margareten;16.171,00;54246,00
AT1;AT13;AT130;90601;0;2005;2015;Wien Mariahilf;11.682,00;29012,00
AT1;AT13;AT130;90601;0;2015;2015;Wien Mariahilf;10.919,00;31000,00
AT1;AT13;AT130;90701;0;2005;2015;Wien Neubau;11.386,00;29161,00
AT1;AT13;AT130;90701;0;2015;2015;Wien Neubau;10.696,00;31291,00
AT1;AT13;AT130;90801;0;2005;2015;Wien Josefstadt;8.822,00;23588,00
AT1;AT13;AT130;90801;0;2015;2015;Wien Josefstadt;8.041,00;24518,00
AT1;AT13;AT130;90901;0;2005;2015;Wien Alsergrund;16.310,00;39472,00
AT1;AT13;AT130;90901;0;2015;2015;Wien Alsergrund;14.635,00;40882,00
AT1;AT13;AT130;91001;0;2005;2015;Wien Favoriten;60.160,00;163695,00
AT1;AT13;AT130;91001;0;2015;2015;Wien Favoriten;63.994,00;189713,00
AT1;AT13;AT130;91101;0;2005;2015;Wien Simmering;31.608,00;82429,00
AT1;AT13;AT130;91101;0;2015;2015;Wien Simmering;34.967,00;95198,00
AT1;AT13;AT130;91201;0;2005;2015;Wien Meidling;29.765,00;83372,00
AT1;AT13;AT130;91201;0;2015;2015;Wien Meidling;32.520,00;92229,00
AT1;AT13;AT130;91301;0;2005;2015;Wien Hietzing;23.325,00;51316,00
AT1;AT13;AT130;91301;0;2015;2015;Wien Hietzing;23.014,00;52115,00
AT1;AT13;AT130;91401;0;2005;2015;Wien Penzing;32.429,00;81785,00
AT1;AT13;AT130;91401;0;2015;2015;Wien Penzing;34.113,00;89303,00
AT1;AT13;AT130;91501;0;2005;2015;Wien Rudolfsheim-Fünfhaus;22.292,00;69467,00
AT1;AT13;AT130;91501;0;2015;2015;Wien Rudolfsheim-Fünfhaus;21.938,00;76320,00
AT1;AT13;AT130;91601;0;2005;2015;Wien Ottakring;31.081,00;91997,00
AT1;AT13;AT130;91601;0;2015;2015;Wien Ottakring;32.337,00;100738,00
AT1;AT13;AT130;91701;0;2005;2015;Wien Hernals;18.253,00;51316,00
AT1;AT13;AT130;91701;0;2015;2015;Wien Hernals;18.337,00;55628,00
AT1;AT13;AT130;91801;0;2005;2015;Wien Währing;18.073,00;46921,00
AT1;AT13;AT130;91801;0;2015;2015;Wien Währing;17.173,00;49178,00
AT1;AT13;AT130;91901;0;2005;2015;Wien Döbling;28.906,00;66900,00
AT1;AT13;AT130;91901;0;2015;2015;Wien Döbling;28.797,00;69999,00
AT1;AT13;AT130;92001;0;2005;2015;Wien Brigittenau;26.004,00;80758,00
AT1;AT13;AT130;92001;0;2015;2015;Wien Brigittenau;25.209,00;85525,00
AT1;AT13;AT130;92101;0;2005;2015;Wien Floridsdorf;54.606,00;134904,00
AT1;AT13;AT130;92101;0;2015;2015;Wien Floridsdorf;59.441,00;151844,00
AT1;AT13;AT130;92201;0;2005;2015;Wien Donaustadt;63.177,00;144820,00
AT1;AT13;AT130;92201;0;2015;2015;Wien Donaustadt;76.562,00;172978,00
AT1;AT13;AT130;92301;0;2005;2015;Wien Liesing;45.658,00;87716,00
AT1;AT13;AT130;92301;0;2015;2015;Wien Liesing;48.317,00;96775,00
