NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;90101;0;2005;2018;Wien Innere Stadt;15.953,00;17294,00
AT1;AT13;AT130;90101;0;2018;2018;Wien Innere Stadt;16.079,00;16450,00
AT1;AT13;AT130;90201;0;2005;2018;Wien Leopoldstadt;31.890,00;91364,00
AT1;AT13;AT130;90201;0;2018;2018;Wien Leopoldstadt;32.718,00;105574,00
AT1;AT13;AT130;90301;0;2005;2018;Wien Landstraße;36.107,00;83827,00
AT1;AT13;AT130;90301;0;2018;2018;Wien Landstraße;38.441,00;90712,00
AT1;AT13;AT130;90401;0;2005;2018;Wien Wieden;13.109,00;29573,00
AT1;AT13;AT130;90401;0;2018;2018;Wien Wieden;12.476,00;33319,00
AT1;AT13;AT130;90501;0;2005;2018;Wien Margareten;17.796,00;51882,00
AT1;AT13;AT130;90501;0;2018;2018;Wien Margareten;15.443,00;55640,00
AT1;AT13;AT130;90601;0;2005;2018;Wien Mariahilf;11.682,00;29012,00
AT1;AT13;AT130;90601;0;2018;2018;Wien Mariahilf;10.283,00;32069,00
AT1;AT13;AT130;90701;0;2005;2018;Wien Neubau;11.386,00;29161,00
AT1;AT13;AT130;90701;0;2018;2018;Wien Neubau;10.174,00;32467,00
AT1;AT13;AT130;90801;0;2005;2018;Wien Josefstadt;8.822,00;23588,00
AT1;AT13;AT130;90801;0;2018;2018;Wien Josefstadt;7.680,00;25662,00
AT1;AT13;AT130;90901;0;2005;2018;Wien Alsergrund;16.310,00;39472,00
AT1;AT13;AT130;90901;0;2018;2018;Wien Alsergrund;13.724,00;42547,00
AT1;AT13;AT130;91001;0;2005;2018;Wien Favoriten;60.160,00;163695,00
AT1;AT13;AT130;91001;0;2018;2018;Wien Favoriten;70.356,00;201882,00
AT1;AT13;AT130;91101;0;2005;2018;Wien Simmering;31.608,00;82429,00
AT1;AT13;AT130;91101;0;2018;2018;Wien Simmering;37.400,00;101420,00
AT1;AT13;AT130;91201;0;2005;2018;Wien Meidling;29.765,00;83372,00
AT1;AT13;AT130;91201;0;2018;2018;Wien Meidling;33.351,00;97624,00
AT1;AT13;AT130;91301;0;2005;2018;Wien Hietzing;23.325,00;51316,00
AT1;AT13;AT130;91301;0;2018;2018;Wien Hietzing;23.457,00;54265,00
AT1;AT13;AT130;91401;0;2005;2018;Wien Penzing;32.429,00;81785,00
AT1;AT13;AT130;91401;0;2018;2018;Wien Penzing;35.145,00;92752,00
AT1;AT13;AT130;91501;0;2005;2018;Wien Rudolfsheim-Fünfhaus;22.292,00;69467,00
AT1;AT13;AT130;91501;0;2018;2018;Wien Rudolfsheim-Fünfhaus;21.166,00;79029,00
AT1;AT13;AT130;91601;0;2005;2018;Wien Ottakring;31.081,00;91997,00
AT1;AT13;AT130;91601;0;2018;2018;Wien Ottakring;32.261,00;104627,00
AT1;AT13;AT130;91701;0;2005;2018;Wien Hernals;18.253,00;51316,00
AT1;AT13;AT130;91701;0;2018;2018;Wien Hernals;18.514,00;57546,00
AT1;AT13;AT130;91801;0;2005;2018;Wien Währing;18.073,00;46921,00
AT1;AT13;AT130;91801;0;2018;2018;Wien Währing;18.239,00;51647,00
AT1;AT13;AT130;91901;0;2005;2018;Wien Döbling;28.906,00;66900,00
AT1;AT13;AT130;91901;0;2018;2018;Wien Döbling;29.630,00;72650,00
AT1;AT13;AT130;92001;0;2005;2018;Wien Brigittenau;26.004,00;80758,00
AT1;AT13;AT130;92001;0;2018;2018;Wien Brigittenau;24.656,00;87239,00
AT1;AT13;AT130;92101;0;2005;2018;Wien Floridsdorf;54.606,00;134904,00
AT1;AT13;AT130;92101;0;2018;2018;Wien Floridsdorf;63.835,00;162779,00
AT1;AT13;AT130;92201;0;2005;2018;Wien Donaustadt;63.177,00;144820,00
AT1;AT13;AT130;92201;0;2018;2018;Wien Donaustadt;82.657,00;187007,00
AT1;AT13;AT130;92301;0;2005;2018;Wien Liesing;45.658,00;87716,00
AT1;AT13;AT130;92301;0;2018;2018;Wien Liesing;53.149,00;103869,00
