NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BUS;TRAM;UNDERGROUND
AT1;AT13;AT130;90001;0;1995;2020;119.400.000;217.200.000;350.900.000
AT1;AT13;AT130;90001;0;1996;2020;113.200.000;212.700.000;370.600.000
AT1;AT13;AT130;90001;0;1997;2020;111.100.000;211.900.000;375.700.000
AT1;AT13;AT130;90001;0;1998;2020;112.000.000;214.300.000;377.900.000
AT1;AT13;AT130;90001;0;1999;2020;111.500.000;213.700.000;386.200.000
AT1;AT13;AT130;90001;0;2000;2020;113.200.000;216.100.000;395.600.000
AT1;AT13;AT130;90001;0;2001;2020;109.700.000;206.700.000;413.100.000
AT1;AT13;AT130;90001;0;2002;2020;108.800.000;204.000.000;409.600.000
AT1;AT13;AT130;90001;0;2003;2020;108.600.000;203.800.000;409.700.000
AT1;AT13;AT130;90001;0;2004;2020;110.500.000;204.700.000;420.200.000
AT1;AT13;AT130;90001;0;2005;2020;111.700.000;207.700.000;427.400.000
AT1;AT13;AT130;90001;0;2006;2020;117.500.000;204.700.000;450.000.000
AT1;AT13;AT130;90001;0;2007;2020;116.000.000;200.400.000;476.600.000
AT1;AT13;AT130;90001;0;2008;2020;115.000.000;190.500.000;498.200.000
AT1;AT13;AT130;90001;0;2009;2020;114.700.000;186.900.000;510.200.000
AT1;AT13;AT130;90001;0;2010;2020;114.400.000;189.900.000;534.400.000
AT1;AT13;AT130;90001;0;2011;2020;113.600.000;193.800.000;567.600.000
AT1;AT13;AT130;90001;0;2012;2020;167.100.000;295.100.000;444.400.000
AT1;AT13;AT130;90001;0;2013;2020;177.600.000;293.600.000;428.800.000
AT1;AT13;AT130;90001;0;2014;2020;186.600.000;304.800.000;439.800.000
AT1;AT13;AT130;90001;0;2015;2020;201.100.000;298.000.000;440.000.000
AT1;AT13;AT130;90001;0;2016;2020;208.300.000;305.800.000;440.100.000
AT1;AT13;AT130;90001;0;2017;2020;202.300.000;305.800.000;453.600.000
AT1;AT13;AT130;90001;0;2018;2020;197.300.000;305.500.000;463.100.000
AT1;AT13;AT130;90001;0;2019;2020;196.100.000;304.800.000;459.800.000
AT1;AT13;AT130;90001;0;2020;2020;122.800.000;186.100.000;265.100.000
