NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;ANNUAL_TICKETS
AT1;AT13;AT130;90001;0;2005;2020;303.000,00
AT1;AT13;AT130;90001;0;2007;2020;325.000,00
AT1;AT13;AT130;90001;0;2009;2020;336.000,00
AT1;AT13;AT130;90001;0;2011;2020;363.000,00
AT1;AT13;AT130;90001;0;2012;2020;501.000,00
AT1;AT13;AT130;90001;0;2013;2020;582.000,00
AT1;AT13;AT130;90001;0;2014;2020;650.000,00
AT1;AT13;AT130;90001;0;2015;2020;711.250,00
AT1;AT13;AT130;90001;0;2016;2020;733.000,00
AT1;AT13;AT130;90001;0;2017;2020;778.162,00
AT1;AT13;AT130;90001;0;2018;2020;822.174,00
AT1;AT13;AT130;90001;0;2019;2020;852.300,00
AT1;AT13;AT130;90001;0;2020;2020;818.813,00
