NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;ANNUAL_TICKETS
AT1;AT13;AT130;90001;0;2005;2018;303.000,00
AT1;AT13;AT130;90001;0;2007;2018;325.000,00
AT1;AT13;AT130;90001;0;2009;2018;336.000,00
AT1;AT13;AT130;90001;0;2011;2018;363.000,00
AT1;AT13;AT130;90001;0;2012;2018;501.000,00
AT1;AT13;AT130;90001;0;2013;2018;582.000,00
AT1;AT13;AT130;90001;0;2014;2018;650.000,00
AT1;AT13;AT130;90001;0;2015;2018;711.250,00
AT1;AT13;AT130;90001;0;2016;2018;733.000,00
AT1;AT13;AT130;90001;0;2017;2018;778.162,00
AT1;AT13;AT130;90001;0;2018;2018;822.174,00
