NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;ANNUAL_TICKETS
AT1;AT13;AT130;90001;0;2005;2019;303.000
AT1;AT13;AT130;90001;0;2007;2019;325.000
AT1;AT13;AT130;90001;0;2009;2019;336.000
AT1;AT13;AT130;90001;0;2011;2019;363.000
AT1;AT13;AT130;90001;0;2012;2019;501.000
AT1;AT13;AT130;90001;0;2013;2019;582.000
AT1;AT13;AT130;90001;0;2014;2019;650.000
AT1;AT13;AT130;90001;0;2015;2019;711.250
AT1;AT13;AT130;90001;0;2016;2019;733.000
AT1;AT13;AT130;90001;0;2017;2019;778.162
AT1;AT13;AT130;90001;0;2018;2019;822.174
AT1;AT13;AT130;90001;0;2019;2019;852.300
